"fileID","band","rad_avg"
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/808.9_leaf_2020_1000ms_80_200828_105724_117.png",808.9,0.00125688429319372
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/813.9_leaf_2020_1000ms_80_200828_105725_321.png",813.9,0.00147328272251309
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/819.0_leaf_2020_1000ms_80_200828_105553_235.png",819,0.000453925654450262
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/824.1_leaf_2020_1000ms_80_200828_105554_439.png",824.1,0.000440598952879581
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/829.1_leaf_2020_1000ms_80_200828_105555_643.png",829.1,0.000432916230366492
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/834.2_leaf_2020_1000ms_80_200828_105556_846.png",834.2,0.00042274554973822
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/839.2_leaf_2020_1000ms_80_200828_105558_050.png",839.2,0.000432905759162304
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/844.3_leaf_2020_1000ms_80_200828_105559_254.png",844.3,0.000451074345549738
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/849.4_leaf_2020_1000ms_80_200828_105600_458.png",849.4,0.000484267015706806
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/854.4_leaf_2020_1000ms_80_200828_105601_662.png",854.4,0.000503330890052356
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/859.5_leaf_2020_1000ms_80_200828_105602_866.png",859.5,0.000538201047120419
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/864.6_leaf_2020_1000ms_80_200828_105604_070.png",864.6,0.000583643979057592
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/869.6_leaf_2020_1000ms_80_200828_105605_273.png",869.6,0.000646696335078534
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/874.7_leaf_2020_1000ms_80_200828_105606_477.png",874.7,0.000765553926701571
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/879.7_leaf_2020_1000ms_80_200828_105607_681.png",879.7,0.000906102617801047
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/884.8_leaf_2020_1000ms_80_200828_105608_885.png",884.8,0.00106811151832461
